Term;Overlap;P.value;Adjusted.P.value;Gene_count;Gene_ratio;Genes
Cysteine-type Endopeptidase Inhibitor Activity (GO:0004869);6/27;0,000567110108478353;0,0153295056880892;6;0,222222222222222;SERPINB3;CSTA;CST1;SERPINB13;PTTG1;SPOCK1
DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228);27/341;0,00058142578061085;0,0153295056880892;27;0,0791788856304985;DLX5;TWIST1;SIX1;HOXD13;SOX21;BARX2;HOXC10;SOX2;SOX15;E2F1;E2F2;MYBL2;SOX9;OTX1;SOX4;TFAP2A;TFAP2C;GRHL3;SOX12;GRHL1;GRHL2;ETV4;TFDP1;TCF3;HOXB7;TP73;ZNF750
RNA-DNA Hybrid Ribonuclease Activity (GO:0004523);3/5;0,000593566718562377;0,0153295056880892;3;0,6;FEN1;RNASEH2A;EXO1
D-loop DNA Binding (GO:0062037);3/5;0,000593566718562377;0,0153295056880892;3;0,6;RAD51AP1;RECQL4;BLM
Platelet-derived Growth Factor Binding (GO:0048407);4/11;0,000659870381520462;0,0158203575182395;4;0,363636363636364;COL1A1;COL3A1;COL1A2;COL5A1
Wide Pore Channel Activity (GO:0022829);7/38;0,000665839962888868;0,0158203575182395;7;0,184210526315789;PANX2;GSDMC;GJB2;GJB4;GJB3;GJB6;GJB5
Insulin-like Growth Factor I Binding (GO:0031994);4/13;0,00134133831858085;0,0306444215860395;4;0,307692307692308;ITGB4;IGFBP3;IGFBP2;ITGA6
Cyclin-dependent Protein Serine/Threonine Kinase Activator Activity (GO:0061575);4/14;0,00181902987140908;0,0400186571709998;4;0,285714285714286;CCNB1;CKS2;CKS1B;CDK5R1
5'-Flap Endonuclease Activity (GO:0017108);3/7;0,00195621325431746;0,0414996668951633;3;0,428571428571429;MGME1;FEN1;EXO1
Sequence-specific Double-Stranded DNA Binding (GO:1990837);47/762;0,00207510532072835;0,0425038813969877;47;0,0616797900262467;RARG;FOXE1;DLX5;BNC1;DLX6;HMGB2;SIX1;HOXD13;MCM10;HOXC13;HOXD10;BARX2;HOXC10;HSPD1;SOX2;CDC45;ORC1;BASP1;SIX2;E2F1;E2F2;MYBL2;SOX9;OTX1;HOXC8;PITX1;HES2;E2F7;SOX4;E2F8;TFAP2A;TFAP2C;PRRX2;SOX12;CDC6;OVOL1;GRHL1;FOXN1;ETV4;TBL1XR1;PAX9;SNAI2;KIF2C;TCF3;IRF6;HOXB7;TP73
Serine-type Endopeptidase Activity (GO:0004252);14/147;0,0022615598975088;0,0447788859706743;14;0,0952380952380952;MMP1;F12;MMP3;TMPRSS4;CTSV;KLK8;MMP9;MMP10;KLK6;MMP12;MMP11;MMP14;MMP13;PLAU
Transmembrane-ephrin Receptor Activity (GO:0005005);4/15;0,00240287882367211;0,0460422587503625;4;0,266666666666667;EFNA3;EPHA1;EFNA4;EPHB3
