gene;full_id;logFC;pval_adj;direction
SFTPC;SFTPC|ENSG00000168484;-8,97798292437152;3,48446203211269e-21;down
CDC20;CDC20|ENSG00000117399;3,88040307720008;8,51859252466451e-26;up
AGER;AGER|ENSG00000204305;-7,01517863851324;2,010832116872e-25;down
SLC2A1;SLC2A1|ENSG00000117394;4,99450080248782;1,33164358858165e-25;up
