gene;ensembl_id;pval;pval_adj;logFC;direction
POSTN;ENSG00000133110;1,61590793440922e-08;8,64240204136711e-08;1,85710054322151;up
CCL21;ENSG00000137077;1,61727401607016e-08;8,64848120808124e-08;-1,75900005247109;down
C1orf189;ENSG00000163263;1,87772266523411e-08;9,94670543367056e-08;-1,37777646579805;down
SLC7A2;ENSG00000003989;1,94384584829095e-08;1,02709937274078e-07;-1,3842497604124;down
CD24;ENSG00000272398;2,06860683110264e-08;1,08738159947586e-07;1,34608937024912;up
CAPSL;ENSG00000152611;2,26439844685768e-08;1,18304226547887e-07;-1,59799415933588;down
IGFBP2;ENSG00000115457;2,4954902961789e-08;1,29587417983832e-07;2,03209230210483;up
SERPINB2;ENSG00000197632;2,58498906583391e-08;1,33921334299903e-07;1,84209683064054;up
BARX1;ENSG00000131668;2,80776487483758e-08;1,4466743706534e-07;1,61473472781545;up
TEKT2;ENSG00000092850;2,96132071891649e-08;1,51956145520769e-07;-1,35272412497033;down
AZGP1;ENSG00000160862;3,28559571324206e-08;1,6761473868001e-07;-1,74808445708739;down
CAPS;ENSG00000105519;3,35454193135166e-08;1,70739208887795e-07;-1,69949264866048;down
AL161431.1;ENSG00000275216;3,42628591491316e-08;1,74014884886353e-07;1,43459364275293;up
IGFL1;ENSG00000188293;3,55198609100265e-08;1,7993833584242e-07;1,99215142120152;up
HOXC10;ENSG00000180818;3,58955527971933e-08;1,816462428098e-07;1,5661558496582;up
SBSN;ENSG00000189001;3,59816123109577e-08;1,82008437474712e-07;2,39653704582703;up
AL512326.3;ENSG00000234041;3,83453413539671e-08;1,92852253814248e-07;1,5732460968891;up
C15orf48;ENSG00000166920;4,34643639467339e-08;2,1634612425355e-07;1,35453684609371;up
B3GNT3;ENSG00000179913;5,00264261921176e-08;2,46696250040799e-07;1,33630193380834;up
NMRAL2P;ENSG00000171658;5,08615464424001e-08;2,50519533927384e-07;1,99961253021724;up
AREG;ENSG00000109321;5,80107813938854e-08;2,82667580744895e-07;-1,50380928893608;down
IL6;ENSG00000136244;6,30916666240606e-08;3,05883006224304e-07;-1,99536613745666;down
POF1B;ENSG00000124429;6,80901949702584e-08;3,28328686137577e-07;1,45120711385386;up
VTCN1;ENSG00000134258;7,02617964433823e-08;3,37950544460035e-07;1,78601845010287;up
RBP1;ENSG00000114115;7,63362645336329e-08;3,6553550452176e-07;1,44588964192442;up
FBN2;ENSG00000138829;7,79858934930437e-08;3,72913643945234e-07;1,44447069805865;up
BCL2A1;ENSG00000140379;9,10471521891822e-08;4,30779766759285e-07;-1,40064011657761;down
ITLN1;ENSG00000179914;1,07433777785533e-07;5,01450749582176e-07;-2,086500374691;down
TMEM190;ENSG00000160472;1,08024969137445e-07;5,0402292506944e-07;-1,66140504332677;down
CEL;ENSG00000170835;1,10068740346423e-07;5,12797079144533e-07;1,38433937430731;up
NDUFA4L2;ENSG00000185633;1,23263915341644e-07;5,69904733080248e-07;1,64078274098275;up
CSTA;ENSG00000121552;1,29741996527337e-07;5,97364670709413e-07;2,26473085845314;up
ANXA8;ENSG00000265190;1,40741858221508e-07;6,43374283975231e-07;1,39085720094337;up
NIPAL4;ENSG00000172548;1,4153081332034e-07;6,46432086285014e-07;1,39521457235417;up
PADI3;ENSG00000142619;1,48636195797484e-07;6,76100084540382e-07;1,63820514460484;up
RNASE7;ENSG00000165799;1,51643918489911e-07;6,88783890526233e-07;1,49632183000325;up
SERPINB3;ENSG00000057149;1,57285439478138e-07;7,11749656798128e-07;2,64262849025386;up
LINC01133;ENSG00000224259;1,59193339517187e-07;7,19692124382389e-07;1,74594272982252;up
CYP24A1;ENSG00000019186;1,63954007376327e-07;7,3968248328124e-07;1,33111990673991;up
AL162413.1;ENSG00000270372;1,91951205943765e-07;8,5557534681923e-07;1,38572808716366;up
COL1A2;ENSG00000164692;2,03291892624785e-07;9,02389059407827e-07;1,52393982357049;up
ADH7;ENSG00000196344;2,07782421612381e-07;9,20587492087296e-07;2,31652580525049;up
CPXM1;ENSG00000088882;2,45743480696222e-07;1,07562709066931e-06;1,49996986343878;up
UPK1B;ENSG00000114638;2,47112438141189e-07;1,08048989162883e-06;2,71991039636324;up
KRT75;ENSG00000170454;2,66002261713972e-07;1,15572813214921e-06;1,40456637389254;up
LY6G6C;ENSG00000204421;3,24632332002296e-07;1,39437280706775e-06;1,43118970897216;up
SPRR2F;ENSG00000244094;3,31730183932686e-07;1,423400032253e-06;1,81304259646587;up
CYP2S1;ENSG00000167600;4,12159696534055e-07;1,74154912687493e-06;1,55884207678173;up
SPRR2C;ENSG00000229035;4,96470735972918e-07;2,06721135452327e-06;2,06241483508238;up
CRCT1;ENSG00000169509;5,16687247943175e-07;2,14664673329857e-06;1,45370160293248;up
ADAM23;ENSG00000114948;5,2870054713118e-07;2,19269084873032e-06;1,80738106983606;up
JCHAIN;ENSG00000132465;5,39505866374628e-07;2,23406279611025e-06;-1,85355869714911;down
ACKR3;ENSG00000144476;5,9912212625606e-07;2,46307215064044e-06;1,40947543026224;up
G0S2;ENSG00000123689;6,74331798246462e-07;2,75037190379792e-06;-1,38566267963303;down
TMPRSS11A;ENSG00000187054;6,87658791720854e-07;2,80139394292852e-06;1,61057324662289;up
KRTDAP;ENSG00000188508;7,43500004369894e-07;3,01001317417282e-06;2,07528997404705;up
LCE3D;ENSG00000163202;7,93055147682102e-07;3,19963756736346e-06;1,65084084785771;up
GDF15;ENSG00000130513;8,13450278111283e-07;3,27526257566811e-06;-1,40271450349003;down
CYP4F11;ENSG00000171903;1,00049161698027e-06;3,95776382643209e-06;1,86419382466275;up
CLCA4;ENSG00000016602;1,0753999094509e-06;4,22879194520671e-06;1,33093356474713;up
KRT31;ENSG00000094796;1,09103573414838e-06;4,28446629843977e-06;1,63819812842107;up
AQP3;ENSG00000165272;1,12571589941771e-06;4,41283910446656e-06;-1,72654370474267;down
CES1;ENSG00000198848;1,14186737168304e-06;4,46918186850712e-06;-2,18838159755565;down
CCL18;ENSG00000275385;2,02363241660497e-06;7,60678340086998e-06;-1,58150431997731;down
FZD10;ENSG00000111432;2,54092217795967e-06;9,38192393948376e-06;1,33175443682111;up
NEFL;ENSG00000277586;2,56379750852326e-06;9,45990085001804e-06;1,52982336771263;up
MAGEA3;ENSG00000221867;2,75632951284708e-06;1,01181798457126e-05;1,55810403357318;up
SFRP2;ENSG00000145423;2,79171017687534e-06;1,02397115030959e-05;1,53906214969778;up
SOSTDC1;ENSG00000171243;3,04896963374416e-06;1,11055087780448e-05;-1,55057300936143;down
CLDN3;ENSG00000165215;3,55432017140795e-06;1,28053209560364e-05;-1,32971469858491;down
GSTA2;ENSG00000244067;3,66957968061099e-06;1,31788115530327e-05;-1,37821323201132;down
MAGEA6;ENSG00000197172;3,97966157237241e-06;1,4205808993426e-05;1,5041962560292;up
AC005336.1;ENSG00000267056;4,14102461078115e-06;1,47371528232058e-05;1,50779121905909;up
SELE;ENSG00000007908;4,50516502743547e-06;1,59133434049054e-05;-1,43795577447152;down
AMTN;ENSG00000187689;4,78363779086542e-06;1,6819254409726e-05;1,87139349061875;up
GPC3;ENSG00000147257;4,84306437476108e-06;1,70075751450176e-05;-1,61599531588125;down
AC007906.2;ENSG00000277639;5,54010754213013e-06;1,92776104311451e-05;-1,50999114453859;down
C6orf15;ENSG00000204542;6,42812470198485e-06;2,21090542770818e-05;1,43648298353194;up
HP;ENSG00000257017;6,8993079055932e-06;2,360364975389e-05;-1,58933682529217;down
PTGS2;ENSG00000073756;7,23292730365553e-06;2,46559228351687e-05;-1,37442878211357;down
KRT23;ENSG00000108244;7,98847813850764e-06;2,70480268958094e-05;1,45484028967458;up
BPIFB1;ENSG00000125999;1,01668125567929e-05;3,37982184785526e-05;-2,47855783512457;down
FETUB;ENSG00000090512;1,11498777341732e-05;3,67571076414804e-05;1,32734187579046;up
LGALS7;ENSG00000205076;1,42792390366743e-05;4,61072396340105e-05;1,34327027669508;up
FGA;ENSG00000171560;1,46327638717794e-05;4,71639191232771e-05;-1,3355146054832;down
NTRK2;ENSG00000148053;1,53564597341808e-05;4,93278014213843e-05;1,56467813756204;up
PLA2G2A;ENSG00000188257;1,54987596222823e-05;4,97340379639e-05;-1,52305895615698;down
AGR2;ENSG00000106541;1,96151356822606e-05;6,18324585668851e-05;-1,35046921606731;down
NTS;ENSG00000133636;2,30997765885225e-05;7,17726737969301e-05;2,68682868548379;up
CCL2;ENSG00000108691;2,53162391132028e-05;7,81568905300721e-05;-1,53832687948892;down
IGHG4;ENSG00000211892;4,51232931978296e-05;0,000132811941679721;1,85853181640207;up
CYP4F3;ENSG00000186529;4,60936538683639e-05;0,000135298262152934;1,36345312456314;up
CXCL13;ENSG00000156234;5,5243623656484e-05;0,000159816453855039;1,94119259785246;up
AKR1C1;ENSG00000187134;0,000136334814547282;0,000365671042718074;1,60110533183091;up
KRT4;ENSG00000170477;0,000340469004275409;0,000845286117115296;-1,37318634233867;down
ALDH3A1;ENSG00000108602;0,000550254228474962;0,00130871557463333;1,64381994391011;up
